,manufacturer,model,year,selling_price,fuel,seller_type,mileage
0,Maruti,Swift Dzire VDI,2014,450000,Diesel,Individual,23.4
1,Skoda,Rapid 1.5 TDI Ambition,2014,370000,Diesel,Individual,21.14
2,Honda,City 2017-2020 EXi,2006,158000,Petrol,Individual,17.7
3,Hyundai,i20 Sportz Diesel,2010,225000,Diesel,Individual,23.0
4,Maruti,Swift VXI BSIII,2007,130000,Petrol,Individual,16.1
5,Hyundai,Xcent 1.2 VTVT E Plus,2017,440000,Petrol,Individual,20.14
6,Maruti,Wagon R LXI DUO BSIII,2007,96000,Other,Individual,17.3
7,Maruti,800 DX BSII,2001,45000,Petrol,Individual,16.1
8,Toyota,Etios VXD,2011,350000,Diesel,Individual,23.59
9,Ford,Figo Diesel Celebration Edition,2013,200000,Diesel,Individual,20.0
10,Renault,Duster 110PS Diesel RxL,2014,500000,Diesel,Individual,19.01
11,Maruti,Zen LX,2005,92000,Petrol,Individual,17.3
12,Maruti,Swift Dzire VDi,2009,280000,Diesel,Individual,19.3
14,Maruti,Wagon R LXI Minor,2009,180000,Petrol,Individual,18.9
15,Mahindra,KUV 100 mFALCON G80 K8 5str,2016,400000,Petrol,Individual,18.15
16,Maruti,Ertiga SHVS VDI,2016,778000,Diesel,Individual,24.52
17,Hyundai,i20 1.4 CRDi Asta,2012,500000,Diesel,Individual,23.0
18,Maruti,Alto LX,2002,150000,Petrol,Individual,19.7
19,Hyundai,i20 2015-2017 Asta 1.4 CRDi,2016,680000,Diesel,Individual,22.54
20,Mahindra,Verito 1.5 D4 BSIII,2011,174000,Diesel,Individual,21.0
21,Honda,WR-V i-DTEC VX,2017,950000,Diesel,Individual,25.5
22,Maruti,Swift Dzire ZDI,2015,525000,Diesel,Individual,26.59
23,Maruti,SX4 ZDI,2012,600000,Diesel,Individual,21.5
24,Tata,Tigor 2017-2020 XZ,2018,500000,Petrol,Individual,20.3
25,Maruti,Baleno Delta 1.2,2016,575000,Petrol,Individual,21.4
26,Maruti,Alto 800 LXI,2017,275000,Petrol,Individual,24.7
27,Chevrolet,Enjoy TCDi LTZ 7 Seater,2013,300000,Diesel,Individual,18.2
28,Maruti,Wagon R LXI Minor,2009,220000,Petrol,Individual,18.9
29,Maruti,Omni E MPI STD BS IV,2018,254999,Petrol,Individual,16.8
30,Maruti,Vitara Brezza LDi Option,2017,670000,Diesel,Individual,24.3
32,Maruti,Omni 8 Seater BSIV,2012,150000,Petrol,Individual,14.0
33,Hyundai,i20 1.2 Asta Dual Tone,2018,730000,Petrol,Individual,18.6
34,Maruti,Vitara Brezza LDi,2017,650000,Diesel,Individual,24.3
35,Maruti,Alto 800 CNG LXI Optional,2019,330000,Other,Individual,33.44
36,Maruti,Alto K10 VXI Airbag,2019,366000,Petrol,Individual,23.95
37,Hyundai,Verna VTVT 1.6 SX Option,2019,1149000,Petrol,Individual,17.0
38,Datsun,GO D,2016,150000,Petrol,Individual,20.63
39,Tata,Safari DICOR 2.2 LX 4x2,2011,425000,Diesel,Individual,13.93
40,Maruti,800 Std,2012,150000,Petrol,Individual,16.1
41,Jeep,Compass 1.4 Limited Plus BSIV,2019,2100000,Petrol,Individual,16.0
42,Honda,City i VTEC VX,2018,925000,Petrol,Dealer,17.8
43,Honda,City V MT,2013,425000,Petrol,Dealer,16.8
44,Maruti,Swift Dzire VXi AT,2018,675000,Petrol,Dealer,18.5
45,Maruti,Vitara Brezza VDi,2018,819999,Diesel,Dealer,24.3
46,Maruti,Alto K10 VXI,2018,390000,Petrol,Dealer,23.95
47,Toyota,Fortuner 4x4 MT,2014,1500000,Diesel,Dealer,12.55
48,Toyota,Innova 2.5 G (Diesel) 7 Seater BS IV,2013,700000,Diesel,Dealer,12.99
49,Mercedes-Benz,B Class B180,2014,1450000,Diesel,Dealer,14.8
50,Honda,Amaze S Diesel,2015,425000,Diesel,Dealer,24.7
51,Mitsubishi,Pajero Sport 4X4,2013,1090000,Diesel,Dealer,13.5
52,Honda,City i DTEC S,2015,600000,Diesel,Dealer,26.0
53,Maruti,Ciaz Zeta,2018,850000,Petrol,Dealer,20.65
54,Honda,Jazz VX Diesel,2015,525000,Diesel,Dealer,27.3
55,Toyota,Innova Crysta 2.8 ZX AT BSIV,2016,1650000,Diesel,Dealer,11.36
56,Toyota,Innova 2.5 G (Diesel) 7 Seater,2016,950000,Diesel,Dealer,12.99
57,Audi,A6 2.0 TDI Technology,2013,1750000,Diesel,Dealer,17.68
58,Toyota,Corolla Altis 1.8 VL CVT,2018,1590000,Petrol,Dealer,14.28
59,Audi,A6 2.0 TDI  Design Edition,2013,1689999,Diesel,Dealer,18.53
61,Mercedes-Benz,New C-Class 220 CDI AT,2013,1425000,Diesel,Dealer,14.84
62,Tata,Manza ELAN Quadrajet BS IV,2011,265000,Diesel,Individual,21.12
63,Hyundai,i10 Magna,2011,190000,Petrol,Individual,20.36
64,Hyundai,i20 Asta 1.4 CRDi,2013,425000,Diesel,Individual,21.27
65,Maruti,Swift Dzire ZDI,2015,630000,Diesel,Individual,26.59
66,Ford,Figo 1.2P Titanium MT,2017,600000,Petrol,Individual,18.16
67,Maruti,Baleno Delta 1.2,2019,650000,Petrol,Individual,21.4
68,Volkswagen,Ameo 1.5 TDI Highline 16 Alloy,2016,540000,Diesel,Individual,22.0
69,Honda,City i DTEC VX,2015,630000,Diesel,Individual,25.1
70,Maruti,Wagon R AMT VXI,2018,448000,Petrol,Individual,20.51
71,Volkswagen,Ameo 1.5 TDI Comfortline,2017,500000,Diesel,Individual,21.66
72,Maruti,Vitara Brezza VDi,2016,745000,Diesel,Individual,24.3
73,Maruti,Vitara Brezza ZDi Plus AMT,2019,1025000,Diesel,Individual,24.3
74,Hyundai,i10 Magna,2011,235000,Petrol,Individual,20.36
75,Maruti,Swift VDI Deca,2016,630000,Diesel,Individual,25.2
76,Toyota,Fortuner 4x4 MT,2015,1700000,Diesel,Individual,12.55
77,Maruti,Swift Star VDI,2013,450000,Diesel,Individual,22.9
78,Maruti,Ertiga ZXI,2012,450000,Petrol,Individual,16.02
80,Volkswagen,Vento Diesel Highline,2013,450000,Diesel,Individual,20.54
81,Toyota,Innova 2.5 VX (Diesel) 8 Seater,2016,1200000,Diesel,Individual,12.99
82,Ford,EcoSport 1.5 TDCi Titanium Plus BSIV,2015,610000,Diesel,Individual,22.77
83,BMW,X1 sDrive20i xLine,2016,2500000,Petrol,Individual,15.71
84,Maruti,Celerio ZXI MT BSIV,2017,484999,Petrol,Dealer,23.1
85,Datsun,GO A Petrol,2016,275000,Petrol,Dealer,19.02
86,Maruti,Alto 800 VXI BSIV,2016,315000,Petrol,Dealer,24.7
87,Maruti,Alto 800 LXI BSIV,2016,275000,Petrol,Dealer,24.7
89,Hyundai,i10 Era 1.1,2012,290000,Petrol,Dealer,19.81
90,Maruti,Omni 8 Seater BSIV,2017,280000,Petrol,Dealer,14.0
91,Maruti,Wagon R LXI LPG BSIV,2010,225000,Other,Dealer,26.2
92,Volkswagen,Polo 1.2 MPI Comfortline,2015,455000,Petrol,Dealer,16.47
93,Hyundai,i10 Magna 1.1L,2015,351000,Petrol,Dealer,19.81
94,Volkswagen,Vento Petrol Highline,2012,535000,Petrol,Dealer,15.04
95,Maruti,Zen Estilo LXI BSIII,2009,175000,Petrol,Dealer,18.2
96,Hyundai,i20 Asta Optional with Sunroof 1.2,2013,525000,Petrol,Dealer,18.5
97,Maruti,Swift Dzire LDI,2016,600000,Diesel,Individual,26.59
98,Hyundai,Xcent 1.2 Kappa SX Option AT,2016,565000,Petrol,Dealer,19.1
99,Maruti,Alto LX BSIII,2008,120000,Petrol,Dealer,19.7
